Reporting Period,Project Number,Legacy Project Number,Street Address,City,County,State,ZIP Code,Incorporated Municipality,Municipality Type,Census Tract,Sector,Program Type,Solicitation,Electric Utility,Purchase Type,Date Application Received,Date Completed,Project Status,Contractor,Minority or Women Owned Business Enterprise (MWBE),Primary Inverter Manufacturer,Primary Inverter Model Number,Total Inverter Quantity,Primary PV Module Manufacturer,PV Module Model Number,Total PV Module Quantity,Project Cost,$Incentive,Total Nameplate kW DC,Expected KWh Annual Production,Remote Net Metering,Affordable Solar,Community Distributed Generation,Green Jobs Green New York Participant,Latitude,Longitude,Georeference
11/30/2022,252136,,,Levittown,Nassau,NY,11756,Hempstead,Town,36059409200,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,8/6/2020,4/16/2021,Complete,Harvest Power,No,Enphase Energy Inc.,IQ7PLUS-72-x-US-& [240V],32,LG Electronics Inc.,LG370Q1C-V5,32,35900,,11.84,15075,,No,No,Yes,40.7206369,-73.5137848,POINT (-73.5137848 40.7206369)
11/30/2022,258226,,,East Rockaway,Nassau,NY,11518,Hempstead,Town,36059412200,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,8/18/2020,6/3/2021,Complete,GreenLeaf Solar,No,Enphase Energy Inc.,IQ7PLUS-72-x-ACM-US [240V],14,"S-Energy Co., Ltd.",SN370M-10(B),14,16576,,5.18,6355,,No,No,Yes,40.6332349,-73.6672123,POINT (-73.6672123 40.6332349)
11/30/2022,156140,,,Massapequa,Nassau,NY,11758,Oyster Bay,Town,36059520900,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,9/26/2018,1/31/2019,Complete,"SuNation Solar Systems, Inc.",No,SolarEdge Technologies Ltd.,SE6000H-US [240V],1,"S-Energy Co., Ltd.",SN355M-10,20,36500,,7.1,8146,,No,No,Yes,40.6979378,-73.475699,POINT (-73.475699 40.6979378)
11/30/2022,244186,,,Bellmore,Nassau,NY,11710,Hempstead,Town,36059415300,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,4/15/2020,7/15/2020,Complete,NY State Solar (dba for NYSS LLC),No,Enphase Energy Inc.,IQ7PLUS-72-x-ACM-US [240V],14,"S-Energy Co., Ltd.",SN370M-10T,14,23226.5,1659.035714,5.18,5870,,No,No,Yes,40.6722033,-73.5348249,POINT (-73.5348249 40.6722033)
11/30/2022,496759,,,Oceanside,Nassau,NY,11572,Hempstead,Town,36059413300,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,8/22/2022,10/27/2022,Complete,"SuNation Solar Systems, Inc.",No,Enphase Energy Inc.,IQ8PLUS-72-2-US [240V],22,REC Solar,REC365AA Black,22,29928,,8.03,9601,,No,No,Yes,40.6375195,-73.628331,POINT (-73.628331 40.6375195)
11/30/2022,315436,,,Seaford,Nassau,NY,11783,Hempstead,Town,36059416100,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,6/25/2021,8/19/2021,Complete,NY State Solar (dba for NYSS LLC),No,Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],28,Hanwha Q CELLS,Q.PEAK DUO BLK ML-G9+ 380,28,39267.87,,10.64,12276,,No,No,Yes,40.6566387,-73.4945963,POINT (-73.4945963 40.6566387)
11/30/2022,171826,,,Valley Stream,Nassau,NY,11581,Hempstead,Town,36059410800,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,2/9/2019,5/29/2019,Complete,"SuNation Solar Systems, Inc.",No,SolarEdge Technologies Ltd.,SE5000H-US [240V],1,"S-Energy Co., Ltd.",SN360M-10,16,20678.4,,5.76,6695,,No,No,Yes,40.6529539,-73.7073251,POINT (-73.7073251 40.6529539)
11/30/2022,258622,,,Hicksville,Nassau,NY,11801,Oyster Bay,Town,36059519300,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,8/27/2020,11/20/2020,Complete,Smart Home Energy Source,No,Enphase Energy Inc.,IQ7XS-96-y-ACM-z [240V],29,Sunpower,SPR-X20-327-BLK-E-AC,29,30915,,9.48,10967,,No,No,Yes,40.7650004,-73.5139024,POINT (-73.5139024 40.7650004)
11/30/2022,115145,,,Bellmore,Nassau,NY,11710,Hempstead,Town,36059415300,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,3/22/2018,5/29/2018,Complete,"SuNation Solar Systems, Inc.",No,SolarEdge Technologies Ltd.,SE10000A-US (240V),1,Silfab,SLG370M,33,38061,,12.21,14707,,No,No,Yes,40.6722033,-73.5348249,POINT (-73.5348249 40.6722033)
11/30/2022,378949,,,Wantagh,Nassau,NY,11793,Hempstead,Town,36059415600,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,2/7/2022,3/22/2022,Complete,NY State Solar (dba for NYSS LLC),No,Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],16,Hanwha Q CELLS,Q.PEAK DUO BLK ML-G10+ 400,16,28360.15,,6.4,7852,,No,No,Yes,40.6793876,-73.5165815,POINT (-73.5165815 40.6793876)
11/30/2022,282081,,,Levittown,Nassau,NY,11756,Hempstead,Town,36059409100,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,12/22/2020,3/19/2021,Complete,NY State Solar (dba for NYSS LLC),No,Enphase Energy Inc.,IQ7PLUS-72-x-ACM-US [240V],16,Hanwha Q CELLS,Q.PEAK DUO BLK ML-G9+ 380,16,27314.64,,6.08,7316,,No,No,Yes,40.71639,-73.5270022,POINT (-73.5270022 40.71639)
11/30/2022,115047,,,Oceanside,Nassau,NY,11572,Hempstead,Town,36059413300,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,3/12/2018,4/23/2018,Complete,"SuNation Solar Systems, Inc.",No,SolarEdge Technologies Ltd.,SE7600H-US,1,Silfab,SLG370M,22,26971,,8.14,7665,,No,No,Yes,40.6375195,-73.628331,POINT (-73.628331 40.6375195)
11/30/2022,129255,,,Wantagh,Nassau,NY,11793,Hempstead,Town,36059415802,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,8/16/2018,9/25/2018,Complete,Sunrise Energy Corp.,No,Enphase Energy Inc.,IQ6-60-x-US [240V],36,"Jinko Solar Co., Ltd",JKM290M-60,36,36600.4,,10.44,11393,,No,No,Yes,40.6832976,-73.5025877,POINT (-73.5025877 40.6832976)
11/30/2022,475676,,,Westbury,Nassau,NY,11590,Hempstead,Town,36059407600,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,6/29/2022,8/23/2022,Complete,NY State Solar (dba for NYSS LLC),No,SunPower,SPR-A400-BLK-G-AC [240V],17,SunPower,SPR-A400-BLK-G-AC,17,31407.85,,6.8,8447,,No,No,Yes,40.7461475,-73.5685582,POINT (-73.5685582 40.7461475)
11/30/2022,217016,,,Bellmore,Nassau,NY,11710,Hempstead,Town,36059415401,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,10/17/2019,2/24/2020,Complete,"SuNation Solar Systems, Inc.",No,Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],16,"S-Energy Co., Ltd.",SN370M-10(B),16,33126,,5.92,6559,,No,No,Yes,40.6584973,-73.5318952,POINT (-73.5318952 40.6584973)
11/30/2022,484295,,,New Hyde Park,Nassau,NY,11040,North Hempstead,Town,36059303102,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,10/13/2022,10/27/2022,Complete,NY State Solar (dba for NYSS LLC),No,SunPower,SPR-A400-BLK-G-AC [240V],23,SunPower,SPR-A390-BLK-G-AC,23,39125.02,,8.97,11870,,No,No,Yes,40.7566821,-73.663492,POINT (-73.663492 40.7566821)
11/30/2022,253855,,,Bellmore,Nassau,NY,11710,Hempstead,Town,36059414800,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,7/15/2020,8/13/2020,Complete,NY State Solar (dba for NYSS LLC),No,Enphase Energy Inc.,IQ7-60-x-ACM-US [240V],20,Hanwha Q CELLS,Q.PEAK DUO BLK-G6+ 340,20,27402.8,,6.8,9038,,No,No,Yes,40.6833768,-73.5424561,POINT (-73.5424561 40.6833768)
11/30/2022,263208,,,Merrick,Nassau,NY,11566,Hempstead,Town,36059414600,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,10/28/2020,11/19/2020,Complete,NY State Solar (dba for NYSS LLC),No,Enphase Energy Inc.,IQ7-60-x-ACM-US [240V],22,Hanwha Q CELLS,Q.PEAK DUO BLK-G6+ 340,22,33030.58,,7.48,8686,,No,No,Yes,40.6837281,-73.5665187,POINT (-73.5665187 40.6837281)
11/30/2022,232778,,,Massapequa,Nassau,NY,11758,Oyster Bay,Town,36059521400,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,1/23/2020,2/25/2020,Complete,NY State Solar (dba for NYSS LLC),No,Enphase Energy Inc.,IQ7-60-x-ACM-US [240V],20,"S-Energy Co., Ltd.",SN310M-10(B),20,25177.8,,6.2,6523,,No,No,Yes,40.6576004,-73.4640836,POINT (-73.4640836 40.6576004)
11/30/2022,157486,,,Massapequa,Nassau,NY,11758,Oyster Bay,Town,36059521400,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,10/4/2018,1/7/2019,Complete,"SuNation Solar Systems, Inc.",No,SolarEdge Technologies Ltd.,SE10000H-US [240V],1,"S-Energy Co., Ltd.",SN355M-10,29,34179.4,,10.3,9696,,No,No,Yes,40.6576004,-73.4640836,POINT (-73.4640836 40.6576004)
11/30/2022,230895,,,Massapequa Park,Nassau,NY,11762,Oyster Bay,Town,36059521601,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,1/13/2020,8/20/2020,Complete,"SuNation Solar Systems, Inc.",No,Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],15,"S-Energy Co., Ltd.",SN370M-10T,15,28261,,5.55,6818,,No,No,Yes,40.6845444,-73.4527573,POINT (-73.4527573 40.6845444)
11/30/2022,253353,,,New Hyde Park,Nassau,NY,11040,North Hempstead,Town,36059302800,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,7/8/2020,7/28/2020,Complete,NY State Solar (dba for NYSS LLC),No,Enphase Energy Inc.,IQ7-60-x-ACM-US [240V],11,Hanwha Q CELLS,Q.PEAK DUO BLK-G6+ 340,11,23727.79,,3.74,4293,,No,No,Yes,40.7486666,-73.6919151,POINT (-73.6919151 40.7486666)
11/30/2022,286779,,,Massapequa Park,Nassau,NY,11762,Oyster Bay,Town,36059521601,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,1/12/2021,4/28/2021,Complete,NY State Solar (dba for NYSS LLC),No,Enphase Energy Inc.,IQ7PLUS-72-x-US-& [240V],10,Hanwha Q CELLS,Q.PEAK DUO BLK ML-G9+ 380,10,27122.9,,3.8,4679,,No,No,Yes,40.6845444,-73.4527573,POINT (-73.4527573 40.6845444)
11/30/2022,106767,,,Farmingdale,Nassau,NY,11735,Oyster Bay,Town,36059520502,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,12/11/2017,3/5/2018,Complete,"SuNation Solar Systems, Inc.",No,SolarEdge Technologies Ltd.,SE6000H-US,1,Silfab,SLG370M,18,22208.4,,6.66,7641,,No,No,Yes,40.713401,-73.4498487,POINT (-73.4498487 40.713401)
11/30/2022,171797,,,Farmingdale,Nassau,NY,11735,Oyster Bay,Town,36059520600,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,1/25/2019,3/14/2019,Complete,"SuNation Solar Systems, Inc.",No,SolarEdge Technologies Ltd.,SE7600H-US [240V],1,Solaria Corporation,Solaria PowerXT-355R-PD,25,34878.75,,8.88,11921,,No,No,Yes,40.7144681,-73.4372606,POINT (-73.4372606 40.7144681)
11/30/2022,216789,,,Bethpage,Nassau,NY,11714,Oyster Bay,Town,36059520200,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,11/12/2019,4/7/2020,Complete,EmPower Solar,No,SunPower,SPR-E20-327-E-AC [240V],28,Sunpower,SPR-E20-327-E-AC,28,27427,,9.16,10011,,No,No,Yes,40.7291043,-73.4779697,POINT (-73.4779697 40.7291043)
11/30/2022,182850,,,Long Beach,Nassau,NY,11561,Long Beach,City,36059416500,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,4/17/2019,6/11/2019,Complete,"SuNation Solar Systems, Inc.",No,Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],27,"S-Energy Co., Ltd.",SN360M-10,27,34992,,9.72,11027,,No,No,Yes,40.5920323,-73.6683682,POINT (-73.6683682 40.5920323)
11/30/2022,137766,,,Farmingdale,Nassau,NY,11735,Oyster Bay,Town,36059520402,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,8/2/2018,9/5/2018,Complete,"SuNation Solar Systems, Inc.",No,SolarEdge Technologies Ltd.,SE5000H-US [240V],1,SANYO ELECTRIC CO LTD OF PANASONIC GROUP,VBHN330SA16,17,23329,,5.61,6062,,No,No,Yes,40.7295408,-73.4428568,POINT (-73.4428568 40.7295408)
11/30/2022,109349,,,Syosset,Nassau,NY,11791,Oyster Bay,Town,36059518400,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,1/2/2018,5/3/2018,Complete,Sunrise Energy Corp.,No,Enphase Energy Inc.,IQ6-60-x-US (240V),26,Hanwha Q CELLS,Q.PEAK BLK-G4.1 300,26,27700,,7.8,9276,,No,No,Yes,40.8233116,-73.4918911,POINT (-73.4918911 40.8233116)
11/30/2022,152432,,,Bethpage,Nassau,NY,11714,Oyster Bay,Town,36059520001,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,9/5/2018,10/24/2018,Complete,"SuNation Solar Systems, Inc.",No,SolarEdge Technologies Ltd.,SE3800 [240V],1,"S-Energy Co., Ltd.",SN355M-10,12,16832.4,,4.26,5603,,No,No,Yes,40.7478914,-73.491996,POINT (-73.491996 40.7478914)
11/30/2022,137721,,,Massapequa,Nassau,NY,11758,Oyster Bay,Town,36059521301,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,8/2/2018,9/25/2018,Complete,"SuNation Solar Systems, Inc.",No,SolarEdge Technologies Ltd.,SE7600H-US [240V],1,Silfab,SLG370M,22,27339,,8.14,8314,,No,No,Yes,40.6722999,-73.4734273,POINT (-73.4734273 40.6722999)
11/30/2022,151987,,,East Meadow,Nassau,NY,11554,Hempstead,Town,36059408200,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,11/20/2018,8/26/2019,Complete,GreenLeaf Solar,No,Enphase Energy Inc.,IQ6PLUS-72-x-US [240V],42,SANYO ELECTRIC CO LTD OF PANASONIC GROUP,VBHN330SA16,42,42273,,13.86,16206,,No,No,Yes,40.7191361,-73.5541464,POINT (-73.5541464 40.7191361)
11/30/2022,315270,,,Island Park,Nassau,NY,11558,Hempstead,Town,36059416202,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,7/2/2021,10/12/2021,Complete,EmPower Solar,No,Enphase Energy Inc.,IQ7XS-96-ACM-US [240V],26,Sunpower,SPR-X22-360-E-AC,26,28685,,9.36,11454,,No,No,Yes,40.6052205,-73.6553002,POINT (-73.6553002 40.6052205)
11/30/2022,252177,,,Baldwin,Nassau,NY,11510,Hempstead,Town,36059413600,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,6/29/2020,7/23/2020,Complete,NY State Solar (dba for NYSS LLC),No,Enphase Energy Inc.,IQ7-60-x-ACM-US [240V],20,Hanwha Q CELLS,Q.PEAK DUO BLK-G6+ 340,20,28252.8,,6.8,6979,,No,No,Yes,40.6576037,-73.6111953,POINT (-73.6111953 40.6576037)
11/30/2022,324343,,,Locust Valley,Nassau,NY,11560,Oyster Bay,Town,36059517802,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,7/29/2021,11/12/2021,Complete,NY State Solar (dba for NYSS LLC),No,Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],17,Hanwha Q CELLS,Q.PEAK DUO BLK ML-G9+ 380,17,28369.79,,6.46,6042,,No,No,Yes,40.8781156,-73.5888296,POINT (-73.5888296 40.8781156)
11/30/2022,122072,,,Bellmore,Nassau,NY,11710,Hempstead,Town,36059414900,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,5/30/2018,7/13/2018,Complete,"SuNation Solar Systems, Inc.",No,SolarEdge Technologies Ltd.,SE5000H-US [240V],1,Silfab,SLG370M,13,17508.4,,4.81,4644,,No,No,Yes,40.6887431,-73.5311732,POINT (-73.5311732 40.6887431)
11/30/2022,120375,,,Hewlett,Nassau,NY,11557,Hempstead,Town,36059411400,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,5/10/2018,10/31/2018,Complete,"Solar Dad & Sons, Inc.",No,Enphase Energy Inc.,IQ6-60-ACM-US [240V],24,Hyundai Heavy Industries Green Energy Co.,HiS-S290RG,24,32000,,6.96,8459,,No,No,Yes,40.6305736,-73.7103607,POINT (-73.7103607 40.6305736)
11/30/2022,181050,,,East Rockaway,Nassau,NY,11518,Hempstead,Town,36059412200,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,3/29/2019,5/16/2019,Complete,Sunrise Energy Corp.,No,Enphase Energy Inc.,IQ6-60-x-US [240V],27,"Jinko Solar Co., Ltd",JKM300M-60,27,36750,,8.1,9079,,No,No,Yes,40.6332349,-73.6672123,POINT (-73.6672123 40.6332349)
11/30/2022,195403,,,West Hempstead,Nassau,NY,11552,Hempstead,Town,36059406002,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,7/15/2019,9/13/2019,Complete,"SuNation Solar Systems, Inc.",No,Enphase Energy Inc.,IQ7-60-x-US [240V],24,Trina Solar,TSM-305DD05A.05(II),24,30083.54,,7.32,8015,,No,No,Yes,40.6959509,-73.6496542,POINT (-73.6496542 40.6959509)
11/30/2022,250914,,,Levittown,Nassau,NY,11756,Hempstead,Town,36059409100,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,6/19/2020,7/20/2020,Complete,NY State Solar (dba for NYSS LLC),No,Enphase Energy Inc.,IQ7-60-x-ACM-US [240V],27,Hanwha Q CELLS,Q.PEAK DUO BLK-G6+ 340,27,41636.03,,9.18,9423,,No,No,Yes,40.71639,-73.5270022,POINT (-73.5270022 40.71639)
11/30/2022,208079,,,Oceanside,Nassau,NY,11572,Hempstead,Town,36059413300,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,8/21/2019,10/21/2019,Complete,"SuNation Solar Systems, Inc.",No,Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],22,"S-Energy Co., Ltd.",SN360M-10,22,41038.82,,7.92,10054,,No,No,Yes,40.6375195,-73.628331,POINT (-73.628331 40.6375195)
11/30/2022,259724,,,Westbury,Nassau,NY,11590,North Hempstead,Town,36059304202,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,8/31/2020,2/17/2021,Complete,EmPower Solar,No,SunPower,SPR-A415-G-AC [240V],24,Sunpower,SPR-A415-G-AC,24,32511.99,,9.96,9500,,No,No,Yes,40.758413,-73.563186,POINT (-73.563186 40.758413)
11/30/2022,248649,,,Plainview,Nassau,NY,11803,Oyster Bay,Town,36059519601,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,5/29/2020,6/23/2020,Complete,NY State Solar (dba for NYSS LLC),No,Enphase Energy Inc.,IQ7X-96-x-ACM-US [240V],26,Hanwha Q CELLS,Q.PEAK DUO BLK-G6+ 340,26,32586.14,,8.84,9466,,No,No,Yes,40.7797679,-73.4975482,POINT (-73.4975482 40.7797679)
11/30/2022,272276,,,East Rockaway,Nassau,NY,11518,Hempstead,Town,36059412200,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,10/22/2020,1/12/2021,Complete,NY State Solar (dba for NYSS LLC),No,Enphase Energy Inc.,IQ7-60-x-ACM-US [240V],10,Hanwha Q CELLS,Q.PEAK DUO BLK-G6+ 340,10,21718.9,,3.4,4500,,No,No,Yes,40.6332349,-73.6672123,POINT (-73.6672123 40.6332349)
11/30/2022,155839,,,Hicksville,Nassau,NY,11801,Oyster Bay,Town,36059519000,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,10/31/2018,1/3/2019,Complete,"SuNation Solar Systems, Inc.",No,SolarEdge Technologies Ltd.,SE7600H-US [240V],1,Silfab,SLG370M,25,33805,,9.25,8982,,No,No,Yes,40.751994,-73.5397121,POINT (-73.5397121 40.751994)
11/30/2022,102206,,,Merrick,Nassau,NY,11566,Hempstead,Town,36059415202,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,10/20/2017,1/18/2018,Complete,"SuNation Solar Systems, Inc.",No,SolarEdge Technologies,SE10000A-US (240V),1,Silfab,SLA300M,38,37620,,11.4,12475,,No,No,Yes,40.645787,-73.5364381,POINT (-73.5364381 40.645787)
11/30/2022,248800,,,Merrick,Nassau,NY,11566,Hempstead,Town,36059408400,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,6/1/2020,7/9/2020,Complete,NY State Solar (dba for NYSS LLC),No,Enphase Energy Inc.,IQ7X-96-x-ACM-US [240V],22,"S-Energy Co., Ltd.",SN310M-10T,22,27462.5,,6.82,8171,,No,No,Yes,40.6935665,-73.5633932,POINT (-73.5633932 40.6935665)
11/30/2022,333130,,,Hicksville,Nassau,NY,11801,Oyster Bay,Town,36059519100,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,8/27/2021,11/22/2021,Complete,NY State Solar (dba for NYSS LLC),No,Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],16,Hanwha Q CELLS,Q.PEAK DUO BLK ML-G9+ 380,16,28767.16,,6.08,7502,,No,No,Yes,40.750755,-73.525735,POINT (-73.525735 40.750755)
11/30/2022,254486,,,Seaford,Nassau,NY,11783,Hempstead,Town,36059522700,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,7/22/2020,11/10/2020,Complete,"SuNation Solar Systems, Inc.",No,Enphase Energy Inc.,IQ7PLUS-72-x-US-& [240V],29,Solaria Corporation,Solaria PowerXT-370R-PD,29,31773,,10.73,12124,,No,No,Yes,40.6834505,-73.48848,POINT (-73.48848 40.6834505)
11/30/2022,213242,,,Oceanside,Nassau,NY,11572,Hempstead,Town,36059413400,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,9/30/2019,12/9/2019,Complete,"SuNation Solar Systems, Inc.",No,Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],21,"S-Energy Co., Ltd.",SN360M-10,21,41110.4,,7.56,8400,,No,No,Yes,40.6229342,-73.6271897,POINT (-73.6271897 40.6229342)
11/30/2022,310801,,,Oceanside,Nassau,NY,11572,Hempstead,Town,36059413100,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,6/1/2021,8/17/2021,Complete,NY State Solar (dba for NYSS LLC),No,Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],18,Hanwha Q CELLS,Q.PEAK DUO BLK ML-G9+ 380,18,29875.76,,6.84,8498,,No,No,Yes,40.6498481,-73.6278368,POINT (-73.6278368 40.6498481)
11/30/2022,106743,,,Plainview,Nassau,NY,11803,Oyster Bay,Town,36059519900,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,12/14/2017,2/6/2018,Complete,"SuNation Solar Systems, Inc.",No,SolarEdge Technologies Ltd.,SE5000H-US (240V),1,Silfab,SLA310M,18,20439,,5.58,6792,,No,No,Yes,40.7623108,-73.4842999,POINT (-73.4842999 40.7623108)
11/30/2022,93143,,,East Meadow,Nassau,NY,11554,Hempstead,Town,36059408100,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,8/16/2017,1/18/2018,Complete,"SuNation Solar Systems, Inc.",No,SolarEdge Technologies Ltd.,SE7600A-US (240V),1,LG Electronics,LG320N1C-G4,29,25984,,9.28,9438,,No,No,Yes,40.7062483,-73.5557891,POINT (-73.5557891 40.7062483)
11/30/2022,111808,,,Westbury,Nassau,NY,11590,North Hempstead,Town,36059303900,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,2/5/2018,3/29/2018,Complete,"SuNation Solar Systems, Inc.",No,SolarEdge Technologies Ltd.,SE7600H-US,1,Silfab,SLG370M,25,29475,,9.25,10152,,No,No,Yes,40.7650481,-73.5904256,POINT (-73.5904256 40.7650481)
11/30/2022,182641,,,Bayville,Nassau,NY,11709,Oyster Bay,Town,,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,4/16/2019,6/26/2019,Complete,"SuNation Solar Systems, Inc.",No,Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],21,"S-Energy Co., Ltd.",SN360M-10,21,30717.2,,7.56,7253,,No,No,Yes,40.9096067,-73.5695586,POINT (-73.5695586 40.9096067)
11/30/2022,226669,,,Massapequa Park,Nassau,NY,11762,Oyster Bay,Town,36059521500,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,12/18/2019,3/10/2020,Complete,"SuNation Solar Systems, Inc.",No,Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],13,"S-Energy Co., Ltd.",SN360M-10(B),13,29041.28,,4.68,5369,,No,No,Yes,40.6979479,-73.4445832,POINT (-73.4445832 40.6979479)
11/30/2022,161751,,,Valley Stream,Nassau,NY,11580,Hempstead,Town,36059410400,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,11/7/2018,3/21/2019,Complete,"SuNation Solar Systems, Inc.",No,SolarEdge Technologies Ltd.,SE7600H-US [240V],1,SANYO ELECTRIC CO LTD OF PANASONIC GROUP,VBHN330SA16,23,29686.6,,7.59,8343,,No,No,Yes,40.6670011,-73.7188534,POINT (-73.7188534 40.6670011)
11/30/2022,318115,,,Levittown,Nassau,NY,11756,Hempstead,Town,36059408600,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,7/9/2021,8/18/2021,Complete,NY State Solar (dba for NYSS LLC),No,Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],25,Hanwha Q CELLS,Q.PEAK DUO BLK ML-G9+ 380,25,41660.24,,9.5,10697,,No,No,Yes,40.7367929,-73.5328885,POINT (-73.5328885 40.7367929)
11/30/2022,204904,,,Syosset,Nassau,NY,11791,Oyster Bay,Town,36059518800,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,7/31/2019,8/19/2020,Complete,"SuNation Solar Systems, Inc.",No,Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],24,"S-Energy Co., Ltd.",SN360M-10,24,43219,,8.64,9550,,No,No,Yes,40.793907,-73.5006839,POINT (-73.5006839 40.793907)
11/30/2022,250082,,,Merrick,Nassau,NY,11566,Hempstead,Town,36059415102,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,6/29/2020,11/30/2020,Complete,"SuNation Solar Systems, Inc.",No,Enphase Energy Inc.,IQ7PLUS-72-x-US-& [240V],13,"S-Energy Co., Ltd.",SD25-72BDE-385V,13,18300,,5.01,6442,,No,No,Yes,40.637402,-73.5488043,POINT (-73.5488043 40.637402)
11/30/2022,179834,,,Plainview,Nassau,NY,11803,Oyster Bay,Town,36059519801,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,3/20/2019,5/23/2019,Complete,"SuNation Solar Systems, Inc.",No,SolarEdge Technologies Ltd.,SE3800H-US [240V],1,"S-Energy Co., Ltd.",SN360M-10,12,20368.8,,4.32,5077,,No,No,Yes,40.7693678,-73.4881499,POINT (-73.4881499 40.7693678)
