Reporting Period,Project Number,Legacy Project Number,Street Address,City,County,State,ZIP Code,Incorporated Municipality,Municipality Type,Census Tract,Sector,Program Type,Solicitation,Electric Utility,Purchase Type,Date Application Received,Date Completed,Project Status,Contractor,Minority or Women Owned Business Enterprise (MWBE),Primary Inverter Manufacturer,Primary Inverter Model Number,Total Inverter Quantity,Primary PV Module Manufacturer,PV Module Model Number,Total PV Module Quantity,Project Cost,$Incentive,Total Nameplate kW DC,Expected KWh Annual Production,Remote Net Metering,Affordable Solar,Community Distributed Generation,Green Jobs Green New York Participant,Latitude,Longitude,Georeference
11/30/2022,69008,,,Oyster Bay,Nassau,NY,11771,Oyster Bay,Town,36059518000,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,11/25/2016,1/10/2018,Complete,EmPower Solar,No,SunPower,SPR-X21-345-C-AC (240V),35,SunPower,SPR-X21-345-C-AC,35,38812,,12.08,13651,,No,No,Yes,40.8680567,-73.5310531,POINT (-73.5310531 40.8680567)
11/30/2022,230374,,,Seaford,Nassau,NY,11783,Hempstead,Town,36059415500,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,1/7/2020,7/28/2020,Complete,"SuNation Solar Systems, Inc.",No,Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],15,"S-Energy Co., Ltd.",SN370M-10(B),15,26085,,5.55,7046,,No,No,Yes,40.6959497,-73.4883248,POINT (-73.4883248 40.6959497)
11/30/2022,244807,,,Wantagh,Nassau,NY,11793,Hempstead,Town,36059409500,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,5/30/2020,6/29/2020,Complete,NY State Solar (dba for NYSS LLC),No,Enphase Energy Inc.,IQ7-60-x-ACM-US [240V],18,"S-Energy Co., Ltd.",SN370M-10T,18,37830.1,,6.66,7962,,No,No,Yes,40.7056,-73.4897758,POINT (-73.4897758 40.7056)
11/30/2022,349759,,,Massapequa,Nassau,NY,11758,Oyster Bay,Town,36059520900,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,10/5/2021,1/24/2022,Complete,NY State Solar (dba for NYSS LLC),No,Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],31,Hanwha Q CELLS,Q.PEAK DUO BLK ML-G10+ 400,31,44696.68,,12.4,13761,,No,No,Yes,40.6979378,-73.475699,POINT (-73.475699 40.6979378)
11/30/2022,181032,,,East Rockaway,Nassau,NY,11518,Hempstead,Town,36059412100,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,4/1/2019,5/6/2019,Complete,Sunrise Energy Corp.,No,Enphase Energy Inc.,IQ7-60-x-US [240V],16,"Jinko Solar Co., Ltd",JKM300M-60,16,18240,,4.8,6029,,No,No,Yes,40.6458255,-73.6664231,POINT (-73.6664231 40.6458255)
11/30/2022,325863,,,Oceanside,Nassau,NY,11572,Hempstead,Town,36059413100,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,9/14/2021,11/12/2021,Complete,"SuNation Solar Systems, Inc.",No,Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],17,REC Solar,REC365AA,17,34640,,6.21,7429,,No,No,Yes,40.6498481,-73.6278368,POINT (-73.6278368 40.6498481)
11/30/2022,361284,,,New Hyde Park,Nassau,NY,11040,North Hempstead,Town,36059302700,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,12/2/2021,2/23/2022,Complete,NY State Solar (dba for NYSS LLC),No,Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],20,Hanwha Q CELLS,Q.PEAK DUO BLK ML-G10+ 400,20,32942.7,,8,9398,,No,No,Yes,40.7405988,-73.6969674,POINT (-73.6969674 40.7405988)
11/30/2022,325294,,,Island Park,Nassau,NY,11558,Hempstead,Town,36059416202,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,8/13/2021,11/12/2021,Complete,NY State Solar (dba for NYSS LLC),No,Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],23,Hanwha Q CELLS,Q.PEAK DUO BLK ML-G9+ 380,23,36841.6,,8.74,10336,,No,No,Yes,40.6052205,-73.6553002,POINT (-73.6553002 40.6052205)
11/30/2022,262554,,,Massapequa,Nassau,NY,11758,Oyster Bay,Town,36059520700,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,9/14/2020,10/21/2020,Complete,NY State Solar (dba for NYSS LLC),No,Enphase Energy Inc.,IQ7-60-x-ACM-US [240V],28,Hanwha Q CELLS,Q.PEAK DUO BLK-G6+ 340,28,34513.92,,9.52,12920,,No,No,Yes,40.7137448,-73.4701386,POINT (-73.4701386 40.7137448)
11/30/2022,110337,,,Bethpage,Nassau,NY,11714,Oyster Bay,Town,36059520002,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,1/15/2018,3/5/2018,Complete,"SuNation Solar Systems, Inc.",No,SolarEdge Technologies Ltd.,SE5000H-US (240V),1,Silfab,SLG370M,15,18648,,5.55,6289,,No,No,Yes,40.7418349,-73.4754641,POINT (-73.4754641 40.7418349)
